"Thématiques","Critères","Page d’accueil","Page utilisateur connecté","Page déconnexion"
"1","1","c","c","c"
"1","2","c","c","c"
"1","3","na","na","na"
"1","4","na","na","na"
"1","5","na","na","na"
"1","6","na","na","na"
"1","7","na","na","na"
"1","8","nc|Le logo MSA contient des mots non présents dans la balise alt (santé, famille, retraite, services). Et à l'inverse la balise alt explicite clairement le logo : « la Mutualité Sociale Agricole » (seulement ""msa"" sur le logo)","nc|Le logo MSA contient des mots non présents dans la balise alt (santé, famille, retraite, services). Et à l'inverse la balise alt explicite clairement le logo : « la Mutualité Sociale Agricole » (seulement ""msa"" sur le logo)","nc|Le logo MSA contient des mots non présents dans la balise alt (santé, famille, retraite, services). Et à l'inverse la balise alt explicite clairement le logo : « la Mutualité Sociale Agricole » (seulement ""msa"" sur le logo)"
"1","9","na","na","na"
"2","1","na","na","na"
"2","2","na","na","na"
"3","1","c","c","c"
"3","2","c","c","c"
"3","3","c","c","c"
"4","1","na","na","na"
"4","2","na","na","na"
"4","3","na","na","na"
"4","4","na","na","na"
"4","5","na","na","na"
"4","6","na","na","na"
"4","7","na","na","na"
"4","8","na","na","na"
"4","9","na","na","na"
"4","10","na","na","na"
"4","11","na","na","na"
"4","12","na","na","na"
"4","13","na","na","na"
"5","1","na","na","na"
"5","2","na","na","na"
"5","3","na","na","na"
"5","4","na","na","na"
"5","5","na","na","na"
"5","6","na","na","na"
"5","7","na","na","na"
"5","8","na","na","na"
"6","1","nc|le lien ""service sécurisé"" n'est pas explicite","c","c"
"6","2","nc|le bouton ""S'identifier avec France Connect"" n'a pas d'intitulé. On peut ajouter un aria-labelledby qui renvoit vers le title à l'intérieur du svg.","c","c"
"7","1","na","na","na"
"7","2","nc|Le site ne fonctionne pas du tout lorsque JavaScript est désactivé (affichage d'un message ""Nous sommes désolés, mais il faut que JavaScript soit activé pour utiliser ce site. Nous travaillons activement sur une amélioration où vous pourrez utiliser ce site sans avoir cette erreur.""","nc|Le site ne fonctionne pas du tout lorsque JavaScript est désactivé (affichage d'un message ""Nous sommes désolés, mais il faut que JavaScript soit activé pour utiliser ce site. Nous travaillons activement sur une amélioration où vous pourrez utiliser ce site sans avoir cette erreur.""","nc|Le site ne fonctionne pas du tout lorsque JavaScript est désactivé (affichage d'un message ""Nous sommes désolés, mais il faut que JavaScript soit activé pour utiliser ce site. Nous travaillons activement sur une amélioration où vous pourrez utiliser ce site sans avoir cette erreur."""
"7","3","na","na","na"
"7","4","nc|Des changements de page sont initiés par 2 liens non explicites du footer (""Mentions légales"" et ""CGU"")","nc|L'intitulé du bouton ""Mon attestation de vaccination"" n'indique pas clairement l'action déclenchée par le bouton (le téléchargement). Aussi des changements de page sont initiés par 2 liens non explicites du footer (""Mentions légales"" et ""CGU""). Par ailleurs, il est recommandé d'ajouter le format du fichier (PDF) et son poids (ex: 42 Ko) dans l'intitulé du bouton de téléchargement ""Mon attestation de vaccination"". Article intéressant ici : https://css-tricks.com/building-good-download-button/","nc|Des changements de page sont initiés par 2 liens non explicites du footer (""Mentions légales"" et ""CGU"")"
"7","5","na","nc|Par exemple, le message ""Document téléchargé avec succès."" n'est pas restitué car il ne contient pas l'attribut role=""status""","na"
"8","1","c","c","c"
"8","2","nc|11 erreurs (sans le CSS) sur https://validator.w3.org/","nc|9 erreurs (sans le CSS) sur https://validator.w3.org/","nc|7 erreurs (sans le CSS) sur https://validator.w3.org/"
"8","3","c","c","c"
"8","4","c","c","c"
"8","5","c","c","c"
"8","6","c|Lorsque JavaScript est désactivé, le titre de la page est ""CNAM"", ce qui n'est pas forcément très pertinent","c|Lorsque JavaScript est désactivé, le titre de la page est ""CNAM"", ce qui n'est pas forcément très pertinent","c|Lorsque JavaScript est désactivé, le titre de la page est ""CNAM"", ce qui n'est pas forcément très pertinent"
"8","7","na","na","na"
"8","8","na","na","na"
"8","9","c","c","c"
"8","10","na","na","na"
